sale_id,date_key,rep_key,doctor_key,product_key,territory_key,quantity_sold,discount_percent,marketing_spend,revenue
1,623,22,486,4,7,75,6.66,2820.02,19331.88
2,368,39,320,12,18,66,1.65,2719.52,19297.39
3,220,28,298,19,19,59,6.92,2570.02,18582.33
4,337,44,37,19,12,79,11.74,3502.52,23592.98
5,223,2,111,5,1,43,11.49,4554.37,8730.8
6,648,11,482,2,8,33,0.75,3952.63,12909.73
7,360,48,239,1,12,83,3.47,3702.52,25863.5
8,329,37,105,5,10,93,0.28,1616.1,21274.46
9,463,26,326,10,3,82,10.18,4275.66,8162.16
10,561,28,356,17,3,38,0.28,919.62,9389.28
11,382,26,247,14,25,1,4.3,3932.2,234.1
12,590,17,206,5,14,77,14.78,2278.51,15053.09
13,617,3,361,4,5,5,6.04,3361.83,1297.35
14,169,14,344,13,6,55,8.12,2535.42,24489.79
15,217,16,353,16,8,65,10.76,1165.92,16111.75
16,378,49,371,13,8,91,13.27,2424.1,38248.29
17,119,36,298,18,6,71,7.07,2947.46,6436.38
18,190,28,370,7,23,40,2.98,4401.88,8358.86
19,370,28,467,8,17,53,4.04,151.6,4103.29
20,149,25,29,5,10,89,6.83,2436.67,19022.15
21,676,9,373,16,20,11,8.15,4648.58,2806.35
22,652,11,454,14,22,87,5.26,2397.8,20162.51
23,488,37,131,3,12,76,12.34,2283.28,8572.87
24,374,43,146,6,8,66,6.02,1733.72,7187.05
25,693,45,341,13,23,48,14.49,4362.62,19891.13
26,160,21,413,17,6,82,3.84,1599.55,19537.75
27,351,2,52,19,15,27,4.09,1404.96,8762.33
28,288,34,373,11,21,62,13.22,4098.79,26008.66
29,288,42,42,10,5,37,2.67,3502.6,3990.86
30,226,13,308,9,5,47,4.44,2114.41,2767.55
31,523,5,420,11,5,20,2.73,4098.8,9404.06
32,522,11,223,2,6,57,12.36,3661.48,19690.18
33,273,29,392,6,5,90,0.63,1110.06,10362.6
34,402,47,480,11,21,6,3.45,3243.84,2800.34
35,183,28,208,9,1,16,12.97,3530.4,858.05
36,665,28,214,17,19,75,12.31,3999.33,16295.87
37,488,5,127,14,17,70,1.13,4430.48,16929.91
38,124,20,2,20,12,97,5.25,541.86,13530.62
39,626,37,51,3,16,39,6.42,1202.91,4696.33
40,414,39,399,17,3,64,6.81,4990.55,14778.0
41,725,10,360,4,17,35,4.15,4946.46,9264.14
42,172,32,17,10,22,46,13.26,3355.18,4421.76
43,288,29,141,13,6,28,3.06,3673.99,13154.14
44,435,2,182,1,22,72,13.26,3880.38,20160.39
45,686,1,384,9,23,92,9.93,2334.97,5106.1
46,113,20,227,3,1,98,11.1,2506.12,11210.86
47,122,1,153,15,10,25,1.8,623.29,4672.36
48,544,4,202,10,10,3,11.79,4976.61,293.26
49,222,15,109,12,8,42,1.33,4868.3,12320.11
50,631,47,75,1,12,51,4.12,1139.83,15785.02
51,39,30,417,14,20,73,8.37,557.02,16362.61
52,497,6,78,2,25,12,6.89,1736.71,4404.03
53,233,38,98,8,18,42,6.66,4766.52,3162.88
54,530,1,150,3,2,53,14.49,1084.73,5831.82
55,149,7,428,10,24,81,3.14,2805.08,8694.56
56,397,5,132,9,1,32,1.33,206.81,1945.61
57,661,49,364,5,4,13,2.97,1837.87,2893.63
58,638,7,154,1,13,53,9.59,3941.63,15468.18
59,302,36,129,5,23,54,2.46,2484.91,12082.87
60,360,3,10,12,12,63,14.27,1623.85,16056.6
61,238,12,100,20,11,73,8.53,686.26,9830.34
62,647,15,2,7,4,35,8.85,4796.4,6871.48
63,663,20,29,11,9,20,0.35,2078.91,9634.16
64,236,41,409,1,19,27,6.95,3765.32,8110.12
65,203,21,471,16,5,80,3.98,704.58,21336.41
66,256,32,381,3,19,1,4.12,841.77,123.38
67,598,12,478,5,3,56,14.58,4296.35,10973.39
68,662,37,316,8,15,67,2.63,3563.8,5263.39
69,235,40,89,19,22,85,6.07,2252.32,27015.63
70,345,47,269,16,16,8,0.86,2756.82,2202.97
71,534,7,168,11,6,10,6.14,2833.66,4537.19
72,466,45,162,9,18,28,2.77,2765.74,1677.57
73,541,31,291,11,5,99,2.06,1393.75,46870.75
74,213,1,79,18,23,20,13.76,4002.05,1682.54
75,463,11,39,12,17,14,13.09,1888.95,3617.25
76,436,45,42,11,19,41,4.13,4717.36,19000.86
77,283,34,468,7,19,91,6.79,4988.09,18269.62
78,562,19,235,18,23,16,6.56,4167.19,1458.41
79,607,11,214,6,5,22,4.88,515.88,2424.74
80,463,33,281,8,14,17,3.24,3887.46,1327.12
81,407,33,142,13,1,65,0.21,128.23,31434.15
82,88,8,339,3,6,76,14.36,126.3,8375.32
83,44,45,110,3,10,77,6.55,351.35,9259.36
